Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp "
107.0095284,27.53963264,32.13956,-0.01079,-0.02947,0.00191,0.055944967,-0.0188,0.005626258,0.01908,-0.23616,0,-4.92132664,3.090381783,262.968686,-1.693714514,-0.022418514,255.619274,-3.923365802,0.066991877,2287.861777,0,104082.6037,0.68235,87.98126627
107.0058725,27.53697301,32.13956,-0.01079,-0.02947,0.00191,0.055965999,-0.0188,0.005669333,0.01908,-0.23616,0,-4.91911134,2.973623945,263.0201066,-1.69381416,-0.021164506,255.6772947,-3.920600349,0.070458482,2286.597149,0,104101.0491,0.68235,87.98511815
107.0024923,27.5339476,32.13956,-0.00967751,-0.02947,0.00191,0.05708414,-0.0188,0.005707752,0.01908,-0.23616,0,-4.916503143,2.85530661,263.0705743,-1.693483613,-0.01980256,255.7341041,-3.917874253,0.073943827,2285.316175,0,104119.7466,0.68235,87.9894732
106.9997656,27.53108017,32.13956685,-0.009759913,-0.02947,0.00191,0.056755588,-0.018793146,0.005747417,0.01908,-0.23616,0,-4.911684953,2.741205915,263.1176326,-1.69161738,-0.018471212,255.7868716,-3.914321492,0.077285344,2284.081884,0,104137.7728,0.68235,87.99499369
106.9975973,27.52824322,32.13957,-0.012724844,-0.02947,0.00191,0.054124966,-0.01879,0.005790929,0.01908,-0.23616,0,-4.910043606,2.627058056,263.1629508,-1.694302087,-0.017148931,255.8378175,-3.909101081,0.080605144,2282.848779,0,104155.8097,0.685381048,88.68575632
106.9957494,27.52533858,32.13957889,-0.012866881,-0.02947,0.00191,0.054271948,-0.01879,0.005835543,0.01908,-0.23616,0,-4.910740862,2.512896148,263.206598,-1.697613617,-0.015892564,255.8867687,-3.905949586,0.083929076,2281.615168,0,104173.8743,0.682786775,88.10342795
106.9940194,27.52264321,32.13958,-0.014112306,-0.02947,0.00191,0.052933538,-0.01879,0.005868539,0.01908,-0.23616,0,-4.910458993,2.39887577,263.2485624,-1.699241819,-0.014733084,255.9336665,-3.903673732,0.08724708,2280.382739,0,104191.9257,0.68235,88.00646792
106.9926161,27.51966227,32.13958067,-0.013911769,-0.02947,0.00191,0.053316218,-0.018789334,0.005912662,0.01908,-0.23616,0,-4.910938701,2.284802078,263.2888608,-1.700992711,-0.013446786,255.978507,-3.902157987,0.090531006,2279.151021,0,104209.9784,0.682610909,88.07062315
106.9914994,27.51693807,32.13959,-0.010332428,-0.02947,0.00191,0.056966561,-0.01878,0.005954243,0.01908,-0.23616,0,-4.910285043,2.171039056,263.3274344,-1.700436057,-0.012250299,256.0211792,-3.902052217,0.093785565,2277.922338,0,104227.9931,0.685715644,88.77552382
106.9909548,27.51421598,32.13959172,-0.01167287,-0.02947,0.00191,0.055409904,-0.01878,0.0059869,0.01908,-0.23616,0,-4.908012702,2.059482537,263.3638662,-1.699599071,-0.011000929,256.0612455,-3.900322908,0.096949215,2276.716742,0,104245.6703,0.68235,88.01890812
106.9906592,27.51140394,32.1396,-0.01279,-0.02947,0.00191,0.054588803,-0.018777797,0.006028813,0.01908,-0.23616,0,-4.908236552,1.948452175,263.398539,-1.701650265,-0.009683409,256.0992989,-3.898114426,0.100081139,2275.517056,0,104263.2737,0.683213665,88.21672068
106.9906663,27.50852532,32.1396,-0.013453228,-0.02947,0.00191,0.054476494,-0.01877,0.00606943,0.01908,-0.23616,0,-4.912456471,1.83791152,263.4313894,-1.706491311,-0.008375382,256.1352478,-3.89737345,0.103217541,2274.323478,0,104280.7906,0.685037841,88.63395464
